Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-12 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-12 00:00:00, 18.57, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-12 00:00:00, 38.25, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-13 00:00:00, 125.707, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-13 00:00:00, 313.325, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-13 00:00:00, 3.675,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-03-13 00:00:00, 77.37, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-13 00:00:00, 16,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-13 00:00:00, 5,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-13 00:00:00, 14.88, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-03-13 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-03-13 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-03-13 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-03-13 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-13 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-13 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-13 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-13 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-13 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-13 00:00:00, 12.44, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-13 00:00:00, 49.17, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-03-25 00:00:00, 126.777, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-03-25 00:00:00, 315.992, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-03-25 00:00:00, 3.675,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-03-25 00:00:00, 77.37, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-03-25 00:00:00, 17,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-03-25 00:00:00, 5,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-03-25 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-03-25 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-03-25 00:00:00, 28, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-03-25 00:00:00, 29, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-03-25 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-03-25 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-03-25 00:00:00, 0.42, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-03-25 00:00:00, 2.68, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-10 00:00:00, 126.887, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-10 00:00:00, 316.266, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-10 00:00:00, 3.675,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-10 00:00:00, 77.37, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-10 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-10 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-10 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-10 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-10 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-10 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-10 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-10 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-10 00:00:00, 0.00, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-10 00:00:00, 0.27, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-15 00:00:00, 194.706, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-15 00:00:00, 485.305, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-15 00:00:00, 9.186,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-15 00:00:00, 93.80, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-15 00:00:00, 19,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-15 00:00:00, 6,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-15 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-16 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-16 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-16 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-16 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-15 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-15 00:00:00, 28, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-15 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-15 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-15 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-15 00:00:00, 26.60, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-15 00:00:00, 169.55, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-16 00:00:00, 225.549, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-16 00:00:00, 562.181, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-16 00:00:00, 9.186,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-16 00:00:00, 134.01, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-16 00:00:00, 20,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-16 00:00:00, 7,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-16 00:00:00, 12.52, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-16 00:00:00, Aucune donnée, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-16 00:00:00, Aucune donnée, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-16 00:00:00, Aucune donnée,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-16 00:00:00, Aucune donnée,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-16 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-16 00:00:00, 26, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-16 00:00:00, 28, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-16 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-16 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-16 00:00:00, 38.79, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-16 00:00:00, 77.15, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-17 00:00:00, 270.439, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-17 00:00:00, 674.069, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-17 00:00:00, 9.186,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-17 00:00:00, 189.77, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-17 00:00:00, 21,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-17 00:00:00, 8,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-17 00:00:00, 17.52, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-17 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-17 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-17 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-17 00:00:00, 25, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-17 00:00:00, 28, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-17 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-17 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-17 00:00:00, 83.07, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-17 00:00:00, 112.22, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-18 00:00:00, 329.153, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-18 00:00:00, 820.414, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-18 00:00:00, 9.186,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-18 00:00:00, 265.39, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-18 00:00:00, 22,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-18 00:00:00, 9,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-18 00:00:00, 12.98, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-18 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-18 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-18 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-18 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-18 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-18 00:00:00, 27, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-18 00:00:00, 29, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-18 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-18 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-18 00:00:00, 124.33, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-18 00:00:00, 146.79, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-19 00:00:00, 395.102, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-19 00:00:00, 984.791, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-19 00:00:00, 9.186,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-19 00:00:00, 346.74, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-19 00:00:00, 23,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-19 00:00:00, 10,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-19 00:00:00, 14.02, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-19 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-19 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-19 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-19 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-19 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-19 00:00:00, 26, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-19 00:00:00, 28, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-19 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-19 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-19 00:00:00, 142.61, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-19 00:00:00, 164.87, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-20 00:00:00, 469.373, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-20 00:00:00, 1169.913, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-20 00:00:00, 10.087,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-20 00:00:00, 444.51, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-20 00:00:00, 24,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-20 00:00:00, 11,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-20 00:00:00, 13.53, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-20 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-20 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-20 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-20 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-20 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-20 00:00:00, 25, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-20 00:00:00, 28, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-20 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-20 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-20 00:00:00, 168.01, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-04-20 00:00:00, 185.68, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-04-21 00:00:00, 549.836, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-04-21 00:00:00, 1370.465, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-04-21 00:00:00, 10.888,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2020-04-21 00:00:00, 568.24, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-04-21 00:00:00, 26,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-04-21 00:00:00, 13,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-04-21 00:00:00, 13.70, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2020-04-21 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2020-04-21 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2020-04-21 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2020-04-21 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-04-21 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-04-21 00:00:00, 26, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-04-21 00:00:00, 29, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-04-21 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-04-21 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-04-21 00:00:00, 195.72, kWh
